Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
F,19,5,4,2,1,5,lively
M,18,7,7,1,1,1,extraverted
F,19,6,2,2,7,4,extraverted
M,20,5,3,1,5,5,serious
F,19,5,7,1,6,6,serious
M,19,4,5,5,4,3,serious
F,18,5,3,4,6,2,responsible
F,19,6,1,5,4,5,serious
F,27,5,2,3,7,5,extraverted
F,23,6,7,3,7,7,lively
M,20,6,5,1,7,4,lively
M,25,5,7,1,3,6,extraverted
F,18,6,7,4,4,6,serious
M,21,5,5,2,7,1,dependable
M,22,3,4,7,6,5,serious
M,17,4,4,7,6,5,lively
F,20,4,5,3,4,1,responsible
M,18,6,3,1,5,7,lively
F,19,5,2,3,6,1,serious
M,19,4,5,5,7,5,extraverted
F,18,5,3,1,5,5,extraverted
F,18,2,7,1,4,4,responsible
M,20,6,6,1,2,2,lively
F,18,5,5,3,6,1,extraverted
M,19,5,5,2,7,4,dependable
M,19,4,7,4,6,4,responsible
M,17,6,2,1,6,6,serious
F,19,4,5,2,5,5,responsible
M,18,7,2,1,7,6,dependable
M,19,3,4,3,6,3,responsible
F,19,6,1,1,7,6,serious
F,18,2,5,7,7,7,dependable
M,22,6,1,2,7,4,serious
M,19,5,1,1,2,3,lively
F,18,5,5,6,6,5,extraverted
F,17,4,4,4,7,5,serious
F,19,4,1,1,3,5,dependable
M,18,4,3,3,7,7,serious
F,20,5,1,5,7,6,lively
F,23,5,5,5,7,6,extraverted
M,20,6,2,7,6,1,lively
F,25,6,1,4,6,4,responsible
F,18,4,1,2,7,5,responsible
F,21,6,1,5,7,7,extraverted
M,22,5,4,6,5,3,serious
M,19,7,2,1,6,4,extraverted
F,18,6,1,3,7,5,responsible
M,19,1,2,3,7,6,responsible
F,19,4,1,4,7,4,responsible
F,19,5,5,5,4,4,dependable
M,19,5,1,5,6,6,dependable
F,19,5,1,7,6,5,dependable
F,19,5,1,2,5,4,responsible
M,19,7,2,6,4,4,serious
M,19,6,7,6,6,4,extraverted
F,18,4,5,5,4,6,serious
M,17,3,4,3,1,5,lively
F,19,6,1,2,7,7,extraverted
M,18,7,2,4,6,5,extraverted
F,19,6,5,5,4,6,dependable
M,19,5,3,6,6,5,lively
M,19,2,1,5,6,6,lively
F,19,6,1,4,6,7,serious
F,19,5,1,3,7,5,responsible
M,19,5,3,2,7,7,dependable
F,19,5,1,3,5,4,responsible
M,19,3,4,2,4,6,extraverted
M,18,6,3,6,7,6,responsible
F,21,6,4,5,5,5,extraverted
F,22,5,1,1,7,6,serious
F,17,7,3,3,1,6,dependable
M,20,6,1,6,4,5,extraverted
M,18,5,7,6,5,6,extraverted
F,19,4,5,5,4,4,dependable
M,19,6,5,1,4,7,responsible
M,22,3,4,3,4,7,lively
M,19,5,7,2,6,5,serious
M,18,2,6,7,3,6,serious
F,19,5,6,3,4,7,serious
F,19,3,5,3,3,4,extraverted
